Code, Title
ar, المحاكمة بالتكرار
ca, El Judici (per Epizeuxis)
de, Der Proceß (durch Epizeuxis)
en, The Trial (by Epizeuxis)
es, El Juicio (por Epizeuxis)
eo, La Testo (per Epizeuxis)
fr, Le Procès (par Epizeuxis)
hit, 𒄩𒀭𒉈𒌍𒅔 𒅁𒄑𒍪𒅅𒋛𒀉
la, Iudicium (a Epizeuxis)
mi, Ko te Whakawā (mā te tukurua)
pt, O Julgamento (per Epizeuxis)
tp, Utala (tan Episeuki)
yi, דער פּראָצעס (דורך עפּיזעוקסיס)
###, Other Variations:
template, Basic Output and Loops in Lazy-K
existential_oulipo, 'K.`s I: an Existential Oulipean Trial by Epizeuxis'
sick, Die Krankheit
creative_paradox, Der Proceß (Paradoxerweise)
non_fiction, "Deconstructing ""The Trial (by Epizeuxis)"": A Hermanuetical Katalepsis"
